"Statistic Label","Year","County","UNIT","VALUE"
"Income of Self Employed","2017","Co. Dublin","Euro Million","3168.67"
"Income of Self Employed","2017","Co. Galway","Euro Million","697.75"
"Income of Self Employed","2017","Co. Kerry","Euro Million","544.4"
"Income of Self Employed","2017","Co. Kildare","Euro Million","510.23"
"Income of Self Employed","2017","Co. Kilkenny","Euro Million","328.4"
"Income of Self Employed","2017","Co. Laois","Euro Million","129.3"
"Income of Self Employed","2017","Co. Leitrim","Euro Million","98.62"
"Income of Self Employed","2017","Co. Limerick","Euro Million","537.83"
"Income of Self Employed","2017","Co. Longford","Euro Million","89.72"
"Income of Self Employed","2017","Co. Louth","Euro Million","207"
"Income of Self Employed","2017","Co. Mayo","Euro Million","359.58"
"Income of Self Employed","2017","Co. Meath","Euro Million","595"
"Income of Self Employed","2017","Co. Monaghan","Euro Million","166.71"
"Income of Self Employed","2017","Co. Offaly","Euro Million","154.42"
"Income of Self Employed","2017","Co. Roscommon","Euro Million","182.56"
"Income of Self Employed","2017","Co. Sligo","Euro Million","166.86"
"Income of Self Employed","2017","Co. Tipperary","Euro Million","571.98"
"Income of Self Employed","2017","Co. Waterford","Euro Million","328.26"
"Income of Self Employed","2017","Co. Westmeath","Euro Million","195.34"
"Income of Self Employed","2017","Co. Wexford","Euro Million","443.37"
"Income of Self Employed","2017","Co. Wicklow","Euro Million","441"
"Income of Self Employed","2018","Ireland","Euro Million","12690.53"
"Income of Self Employed","2018","Co. Carlow","Euro Million","147.16"
"Income of Self Employed","2018","Co. Cavan","Euro Million","218.36"
"Income of Self Employed","2018","Co. Clare","Euro Million","372.72"
"Income of Self Employed","2018","Co. Cork","Euro Million","1902.67"
"Income of Self Employed","2018","Co. Donegal","Euro Million","378.66"
"Income of Self Employed","2018","Co. Dublin","Euro Million","2981.49"
"Income of Self Employed","2018","Co. Galway","Euro Million","680.96"
"Income of Self Employed","2018","Co. Kerry","Euro Million","623.41"
"Income of Self Employed","2018","Co. Kildare","Euro Million","430.69"
"Income of Self Employed","2018","Co. Kilkenny","Euro Million","371.57"
"Income of Self Employed","2018","Co. Laois","Euro Million","110.78"
"Income of Self Employed","2018","Co. Leitrim","Euro Million","98.29"
"Income of Self Employed","2018","Co. Limerick","Euro Million","560.34"
"Income of Self Employed","2018","Co. Longford","Euro Million","76.5"
"Income of Self Employed","2018","Co. Louth","Euro Million","192.72"
"Income of Self Employed","2018","Co. Mayo","Euro Million","358.04"
"Income of Self Employed","2018","Co. Meath","Euro Million","511.82"
"Income of Self Employed","2018","Co. Monaghan","Euro Million","149.55"
"Income of Self Employed","2018","Co. Offaly","Euro Million","138.88"
"Income of Self Employed","2018","Co. Roscommon","Euro Million","174.85"
"Income of Self Employed","2018","Co. Sligo","Euro Million","172"
"Income of Self Employed","2018","Co. Tipperary","Euro Million","590.45"
"Income of Self Employed","2018","Co. Waterford","Euro Million","368.96"
"Income of Self Employed","2018","Co. Westmeath","Euro Million","174.33"
"Income of Self Employed","2018","Co. Wexford","Euro Million","529.27"
"Income of Self Employed","2018","Co. Wicklow","Euro Million","376.06"
"Income of Self Employed","2019","Ireland","Euro Million","13213.03"
"Income of Self Employed","2019","Co. Carlow","Euro Million","163.22"
"Income of Self Employed","2019","Co. Cavan","Euro Million","242.29"
"Income of Self Employed","2019","Co. Clare","Euro Million","378.03"
"Income of Self Employed","2019","Co. Cork","Euro Million","2070.8"
"Income of Self Employed","2019","Co. Donegal","Euro Million","407.98"
"Income of Self Employed","2019","Co. Dublin","Euro Million","3034.92"
"Income of Self Employed","2019","Co. Galway","Euro Million","709.53"
"Income of Self Employed","2019","Co. Kerry","Euro Million","675.22"
"Income of Self Employed","2019","Co. Kildare","Euro Million","416.03"
"Income of Self Employed","2019","Co. Kilkenny","Euro Million","403.53"
"Income of Self Employed","2019","Co. Laois","Euro Million","109.46"
"Income of Self Employed","2019","Co. Leitrim","Euro Million","103.06"
"Income of Self Employed","2019","Co. Limerick","Euro Million","572.34"
"Income of Self Employed","2019","Co. Longford","Euro Million","83.63"
"Income of Self Employed","2019","Co. Louth","Euro Million","182.78"
"Income of Self Employed","2019","Co. Mayo","Euro Million","377.64"
"Income of Self Employed","2019","Co. Meath","Euro Million","473.4"
"Income of Self Employed","2019","Co. Monaghan","Euro Million","166.56"
"Income of Self Employed","2019","Co. Offaly","Euro Million","149.33"
"Income of Self Employed","2019","Co. Roscommon","Euro Million","185.76"
"Income of Self Employed","2019","Co. Sligo","Euro Million","180.35"
"Income of Self Employed","2019","Co. Tipperary","Euro Million","596.21"
"Income of Self Employed","2019","Co. Waterford","Euro Million","396.58"
"Income of Self Employed","2019","Co. Westmeath","Euro Million","194.99"
"Income of Self Employed","2019","Co. Wexford","Euro Million","578.71"
"Income of Self Employed","2019","Co. Wicklow","Euro Million","360.72"
"Income of Self Employed","2020","Ireland","Euro Million","12060.47"
"Income of Self Employed","2020","Co. Carlow","Euro Million","190.33"
"Income of Self Employed","2020","Co. Cavan","Euro Million","232.85"
"Income of Self Employed","2020","Co. Clare","Euro Million","338.99"
"Income of Self Employed","2020","Co. Cork","Euro Million","1902.86"
"Income of Self Employed","2020","Co. Donegal","Euro Million","357.08"
"Income of Self Employed","2020","Co. Dublin","Euro Million","2613.5"
"Income of Self Employed","2020","Co. Galway","Euro Million","675.05"
"Income of Self Employed","2020","Co. Kerry","Euro Million","618.78"
"Income of Self Employed","2020","Co. Kildare","Euro Million","349.71"
"Income of Self Employed","2020","Co. Kilkenny","Euro Million","377.33"
"Income of Self Employed","2020","Co. Laois","Euro Million","109.8"
"Income of Self Employed","2020","Co. Leitrim","Euro Million","96.06"
"Income of Self Employed","2020","Co. Limerick","Euro Million","525.9"
"Income of Self Employed","2020","Co. Longford","Euro Million","87.38"
"Income of Self Employed","2020","Co. Louth","Euro Million","155.73"
"Income of Self Employed","2020","Co. Mayo","Euro Million","396.53"
"Income of Self Employed","2020","Co. Meath","Euro Million","404.09"
"Income of Self Employed","2020","Co. Monaghan","Euro Million","152.94"
"Income of Self Employed","2020","Co. Offaly","Euro Million","146"
"Income of Self Employed","2020","Co. Roscommon","Euro Million","187.37"
"Income of Self Employed","2020","Co. Sligo","Euro Million","170.14"
"Income of Self Employed","2020","Co. Tipperary","Euro Million","567.77"
"Income of Self Employed","2020","Co. Waterford","Euro Million","363.34"
"Income of Self Employed","2020","Co. Westmeath","Euro Million","201.58"
"Income of Self Employed","2020","Co. Wexford","Euro Million","534.93"
"Income of Self Employed","2020","Co. Wicklow","Euro Million","304.42"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2000","Ireland","Euro Million","3180.03"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2000","Co. Carlow","Euro Million","29.39"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2000","Co. Cavan","Euro Million","29.42"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2000","Co. Clare","Euro Million","64.52"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2000","Co. Cork","Euro Million","339.36"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2000","Co. Donegal","Euro Million","67.85"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2000","Co. Dublin","Euro Million","1284.17"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2000","Co. Galway","Euro Million","175.62"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2000","Co. Kerry","Euro Million","76.62"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2000","Co. Kildare","Euro Million","136.83"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2000","Co. Kilkenny","Euro Million","48.45"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2000","Co. Laois","Euro Million","33.71"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2000","Co. Leitrim","Euro Million","15.8"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2000","Co. Limerick","Euro Million","129.89"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2000","Co. Longford","Euro Million","17.25"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2000","Co. Louth","Euro Million","70.96"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2000","Co. Mayo","Euro Million","68.08"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2000","Co. Meath","Euro Million","100.29"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2000","Co. Monaghan","Euro Million","28.17"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2000","Co. Offaly","Euro Million","35.93"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2000","Co. Roscommon","Euro Million","31.17"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2000","Co. Sligo","Euro Million","38.51"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2000","Co. Tipperary","Euro Million","80.84"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2000","Co. Waterford","Euro Million","65.46"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2000","Co. Westmeath","Euro Million","48.16"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2000","Co. Wexford","Euro Million","67.22"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2000","Co. Wicklow","Euro Million","96.36"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Ireland","Euro Million","3859.05"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Co. Carlow","Euro Million","35.64"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Co. Cavan","Euro Million","35.26"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Co. Clare","Euro Million","77.89"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Co. Cork","Euro Million","412.27"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Co. Donegal","Euro Million","81.66"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Co. Dublin","Euro Million","1561.38"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Co. Galway","Euro Million","211.93"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Co. Kerry","Euro Million","91.85"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Co. Kildare","Euro Million","168.9"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Co. Kilkenny","Euro Million","58.58"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Co. Laois","Euro Million","40.91"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Co. Leitrim","Euro Million","19.02"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Co. Limerick","Euro Million","156.35"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Co. Longford","Euro Million","20.67"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Co. Louth","Euro Million","86.51"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Co. Mayo","Euro Million","81.91"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Co. Meath","Euro Million","123.38"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Co. Monaghan","Euro Million","33.85"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Co. Offaly","Euro Million","43.53"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Co. Roscommon","Euro Million","37.33"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Co. Sligo","Euro Million","45.99"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Co. Tipperary","Euro Million","97.46"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Co. Waterford","Euro Million","79.1"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Co. Westmeath","Euro Million","58.16"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Co. Wexford","Euro Million","82"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2001","Co. Wicklow","Euro Million","117.51"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Ireland","Euro Million","4383.05"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Co. Carlow","Euro Million","40.46"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Co. Cavan","Euro Million","39.59"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Co. Clare","Euro Million","88.07"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Co. Cork","Euro Million","468.62"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Co. Donegal","Euro Million","92.04"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Co. Dublin","Euro Million","1776.31"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Co. Galway","Euro Million","239.56"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Co. Kerry","Euro Million","103.17"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Co. Kildare","Euro Million","194.89"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Co. Kilkenny","Euro Million","66.3"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Co. Laois","Euro Million","46.48"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Co. Leitrim","Euro Million","21.41"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Co. Limerick","Euro Million","176.28"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Co. Longford","Euro Million","23.2"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Co. Louth","Euro Million","98.68"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Co. Mayo","Euro Million","92.28"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Co. Meath","Euro Million","141.92"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Co. Monaghan","Euro Million","38.09"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Co. Offaly","Euro Million","49.37"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Co. Roscommon","Euro Million","41.86"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Co. Sligo","Euro Million","51.49"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Co. Tipperary","Euro Million","110.04"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Co. Waterford","Euro Million","89.52"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Co. Westmeath","Euro Million","65.77"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Co. Wexford","Euro Million","93.58"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2002","Co. Wicklow","Euro Million","134.06"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Ireland","Euro Million","4149.89"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Co. Carlow","Euro Million","38.95"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Co. Cavan","Euro Million","38.97"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Co. Clare","Euro Million","83.91"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Co. Cork","Euro Million","446.93"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Co. Donegal","Euro Million","87.68"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Co. Dublin","Euro Million","1654.71"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Co. Galway","Euro Million","226.5"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Co. Kerry","Euro Million","99.2"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Co. Kildare","Euro Million","189.24"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Co. Kilkenny","Euro Million","64.4"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Co. Laois","Euro Million","45.7"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Co. Leitrim","Euro Million","19.93"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Co. Limerick","Euro Million","163.39"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Co. Longford","Euro Million","22.14"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Co. Louth","Euro Million","93.61"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Co. Mayo","Euro Million","87.91"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Co. Meath","Euro Million","139.57"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Co. Monaghan","Euro Million","37.05"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Co. Offaly","Euro Million","48.2"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Co. Roscommon","Euro Million","40.61"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Co. Sligo","Euro Million","48.27"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Co. Tipperary","Euro Million","105.59"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Co. Waterford","Euro Million","84.29"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Co. Westmeath","Euro Million","62.19"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Co. Wexford","Euro Million","92.09"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2003","Co. Wicklow","Euro Million","128.88"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Ireland","Euro Million","3586.87"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Co. Carlow","Euro Million","34.18"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Co. Cavan","Euro Million","34.88"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Co. Clare","Euro Million","72.93"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Co. Cork","Euro Million","388.83"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Co. Donegal","Euro Million","76.2"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Co. Dublin","Euro Million","1408.5"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Co. Galway","Euro Million","195.48"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Co. Kerry","Euro Million","86.93"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Co. Kildare","Euro Million","167.39"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Co. Kilkenny","Euro Million","56.98"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Co. Laois","Euro Million","40.89"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Co. Leitrim","Euro Million","16.95"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Co. Limerick","Euro Million","138.41"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Co. Longford","Euro Million","19.27"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Co. Louth","Euro Million","81.05"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Co. Mayo","Euro Million","76.39"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Co. Meath","Euro Million","124.84"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Co. Monaghan","Euro Million","32.8"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Co. Offaly","Euro Million","42.85"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Co. Roscommon","Euro Million","35.87"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Co. Sligo","Euro Million","41.33"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Co. Tipperary","Euro Million","92.36"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Co. Waterford","Euro Million","72.47"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Co. Westmeath","Euro Million","53.68"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Co. Wexford","Euro Million","82.44"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2004","Co. Wicklow","Euro Million","112.96"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Ireland","Euro Million","3063.35"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Co. Carlow","Euro Million","29.6"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Co. Cavan","Euro Million","30.76"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Co. Clare","Euro Million","62.6"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Co. Cork","Euro Million","334.06"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Co. Donegal","Euro Million","65.4"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Co. Dublin","Euro Million","1185.69"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Co. Galway","Euro Million","166.69"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Co. Kerry","Euro Million","75.17"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Co. Kildare","Euro Million","146.04"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Co. Kilkenny","Euro Million","49.71"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Co. Laois","Euro Million","36.04"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Co. Leitrim","Euro Million","14.25"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Co. Limerick","Euro Million","115.98"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Co. Longford","Euro Million","16.56"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Co. Louth","Euro Million","69.33"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Co. Mayo","Euro Million","65.54"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Co. Meath","Euro Million","109.98"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Co. Monaghan","Euro Million","28.62"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Co. Offaly","Euro Million","37.54"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Co. Roscommon","Euro Million","31.25"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Co. Sligo","Euro Million","34.98"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Co. Tipperary","Euro Million","79.74"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Co. Waterford","Euro Million","61.59"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Co. Westmeath","Euro Million","45.78"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Co. Wexford","Euro Million","72.7"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2005","Co. Wicklow","Euro Million","97.74"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Ireland","Euro Million","2915.59"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Co. Carlow","Euro Million","28.54"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Co. Cavan","Euro Million","30.15"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Co. Clare","Euro Million","59.86"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Co. Cork","Euro Million","319.66"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Co. Donegal","Euro Million","62.52"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Co. Dublin","Euro Million","1113.21"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Co. Galway","Euro Million","158.39"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Co. Kerry","Euro Million","72.34"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Co. Kildare","Euro Million","141.76"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Co. Kilkenny","Euro Million","48.25"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Co. Laois","Euro Million","35.31"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Co. Leitrim","Euro Million","13.35"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Co. Limerick","Euro Million","108.42"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Co. Longford","Euro Million","15.86"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Co. Louth","Euro Million","66.09"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Co. Mayo","Euro Million","62.63"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Co. Meath","Euro Million","107.68"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Co. Monaghan","Euro Million","27.76"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Co. Offaly","Euro Million","36.58"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Co. Roscommon","Euro Million","30.28"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Co. Sligo","Euro Million","33"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Co. Tipperary","Euro Million","76.64"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Co. Waterford","Euro Million","58.35"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Co. Westmeath","Euro Million","43.52"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Co. Wexford","Euro Million","71.27"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2006","Co. Wicklow","Euro Million","94.14"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Ireland","Euro Million","4719.17"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Co. Carlow","Euro Million","47.18"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Co. Cavan","Euro Million","51.55"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Co. Clare","Euro Million","97.87"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Co. Cork","Euro Million","515.87"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Co. Donegal","Euro Million","104.8"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Co. Dublin","Euro Million","1777.87"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Co. Galway","Euro Million","257.88"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Co. Kerry","Euro Million","119.9"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Co. Kildare","Euro Million","230.5"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Co. Kilkenny","Euro Million","78.51"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Co. Laois","Euro Million","59.04"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Co. Leitrim","Euro Million","23.25"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Co. Limerick","Euro Million","174.17"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Co. Longford","Euro Million","26.65"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Co. Louth","Euro Million","107"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Co. Mayo","Euro Million","103.27"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Co. Meath","Euro Million","174.8"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Co. Monaghan","Euro Million","45.18"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Co. Offaly","Euro Million","59.31"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2007","Co. Roscommon","Euro Million","50.89"
