"Statistic Label","Sex","Industry","Province County or City","CensusYear","UNIT","VALUE"
"Population 15 years and over at work","Both sexes","Construction","Wicklow","2006","Number","6466"
"Population 15 years and over at work","Both sexes","Construction","Wicklow","2011","Number","2790"
"Population 15 years and over at work","Both sexes","Construction","Wicklow","2016","Number","3483"
"Population 15 years and over at work","Both sexes","Construction","Munster","2002","Number","42279"
"Population 15 years and over at work","Both sexes","Construction","Munster","2006","Number","61532"
"Population 15 years and over at work","Both sexes","Construction","Munster","2011","Number","26089"
"Population 15 years and over at work","Both sexes","Construction","Munster","2016","Number","26920"
"Population 15 years and over at work","Both sexes","Construction","Clare","2002","Number","4172"
"Population 15 years and over at work","Both sexes","Construction","Clare","2006","Number","6071"
"Population 15 years and over at work","Both sexes","Construction","Clare","2011","Number","2475"
"Population 15 years and over at work","Both sexes","Construction","Clare","2016","Number","2525"
"Population 15 years and over at work","Both sexes","Construction","Cork","2002","Number","17527"
"Population 15 years and over at work","Both sexes","Construction","Cork","2006","Number","25799"
"Population 15 years and over at work","Both sexes","Construction","Cork","2011","Number","11206"
"Population 15 years and over at work","Both sexes","Construction","Cork","2016","Number","11850"
"Population 15 years and over at work","Both sexes","Construction","Cork City","2002","Number","3897"
"Population 15 years and over at work","Both sexes","Construction","Cork City","2006","Number","4850"
"Population 15 years and over at work","Both sexes","Construction","Cork City","2011","Number","1574"
"Population 15 years and over at work","Both sexes","Construction","Cork City","2016","Number","1815"
"Population 15 years and over at work","Both sexes","Construction","Cork County","2002","Number","13630"
"Population 15 years and over at work","Both sexes","Construction","Cork County","2006","Number","20949"
"Population 15 years and over at work","Both sexes","Construction","Cork County","2011","Number","9632"
"Population 15 years and over at work","Both sexes","Construction","Cork County","2016","Number","10035"
"Population 15 years and over at work","Both sexes","Construction","Kerry","2002","Number","5494"
"Population 15 years and over at work","Both sexes","Construction","Kerry","2006","Number","8216"
"Population 15 years and over at work","Both sexes","Construction","Kerry","2011","Number","3338"
"Population 15 years and over at work","Both sexes","Construction","Kerry","2016","Number","3439"
"Population 15 years and over at work","Both sexes","Construction","Limerick","2002","Number","6094"
"Population 15 years and over at work","Both sexes","Construction","Limerick","2006","Number","8224"
"Population 15 years and over at work","Both sexes","Construction","Limerick","2011","Number","3674"
"Population 15 years and over at work","Both sexes","Construction","Limerick","2016","Number","3702"
"Population 15 years and over at work","Both sexes","Construction","Limerick City","2002","Number","1287"
"Population 15 years and over at work","Both sexes","Construction","Limerick City","2006","Number","1475"
"Population 15 years and over at work","Both sexes","Construction","Limerick City","2011","Number","629"
"Population 15 years and over at work","Both sexes","Construction","Limerick City","2016","Number",""
"Population 15 years and over at work","Both sexes","Construction","Limerick County","2002","Number","4807"
"Population 15 years and over at work","Both sexes","Construction","Limerick County","2006","Number","6749"
"Population 15 years and over at work","Both sexes","Construction","Limerick County","2011","Number","3045"
"Population 15 years and over at work","Both sexes","Construction","Limerick County","2016","Number",""
"Population 15 years and over at work","Both sexes","Construction","Tipperary","2002","Number","5527"
"Population 15 years and over at work","Both sexes","Construction","Tipperary","2006","Number","8222"
"Population 15 years and over at work","Both sexes","Construction","Tipperary","2011","Number","3391"
"Population 15 years and over at work","Both sexes","Construction","Tipperary","2016","Number","3352"
"Population 15 years and over at work","Both sexes","Construction","North Tipperary","2002","Number","2278"
"Population 15 years and over at work","Both sexes","Construction","North Tipperary","2006","Number","3433"
"Population 15 years and over at work","Both sexes","Construction","North Tipperary","2011","Number","1570"
"Population 15 years and over at work","Both sexes","Construction","North Tipperary","2016","Number",""
"Population 15 years and over at work","Both sexes","Construction","South Tipperary","2002","Number","3249"
"Population 15 years and over at work","Both sexes","Construction","South Tipperary","2006","Number","4789"
"Population 15 years and over at work","Both sexes","Construction","South Tipperary","2011","Number","1821"
"Population 15 years and over at work","Both sexes","Construction","South Tipperary","2016","Number",""
"Population 15 years and over at work","Both sexes","Construction","Waterford","2002","Number","3465"
"Population 15 years and over at work","Both sexes","Construction","Waterford","2006","Number","5000"
"Population 15 years and over at work","Both sexes","Construction","Waterford","2011","Number","2005"
"Population 15 years and over at work","Both sexes","Construction","Waterford","2016","Number","2052"
"Population 15 years and over at work","Both sexes","Construction","Waterford City","2002","Number","1128"
"Population 15 years and over at work","Both sexes","Construction","Waterford City","2006","Number","1518"
"Population 15 years and over at work","Both sexes","Construction","Waterford City","2011","Number","530"
"Population 15 years and over at work","Both sexes","Construction","Waterford City","2016","Number",""
"Population 15 years and over at work","Both sexes","Construction","Waterford County","2002","Number","2337"
"Population 15 years and over at work","Both sexes","Construction","Waterford County","2006","Number","3482"
"Population 15 years and over at work","Both sexes","Construction","Waterford County","2011","Number","1475"
"Population 15 years and over at work","Both sexes","Construction","Waterford County","2016","Number",""
"Population 15 years and over at work","Both sexes","Construction","Connacht","2002","Number","19463"
"Population 15 years and over at work","Both sexes","Construction","Connacht","2006","Number","29761"
"Population 15 years and over at work","Both sexes","Construction","Connacht","2011","Number","11810"
"Population 15 years and over at work","Both sexes","Construction","Connacht","2016","Number","12209"
"Population 15 years and over at work","Both sexes","Construction","Galway","2002","Number","8521"
"Population 15 years and over at work","Both sexes","Construction","Galway","2006","Number","13158"
"Population 15 years and over at work","Both sexes","Construction","Galway","2011","Number","5356"
"Population 15 years and over at work","Both sexes","Construction","Galway","2016","Number","5628"
"Population 15 years and over at work","Both sexes","Construction","Galway City","2002","Number","1686"
"Population 15 years and over at work","Both sexes","Construction","Galway City","2006","Number","2775"
"Population 15 years and over at work","Both sexes","Construction","Galway City","2011","Number","914"
"Population 15 years and over at work","Both sexes","Construction","Galway City","2016","Number","947"
"Population 15 years and over at work","Both sexes","Construction","Galway County","2002","Number","6835"
"Population 15 years and over at work","Both sexes","Construction","Galway County","2006","Number","10383"
"Population 15 years and over at work","Both sexes","Construction","Galway County","2011","Number","4442"
"Population 15 years and over at work","Both sexes","Construction","Galway County","2016","Number","4681"
"Population 15 years and over at work","Both sexes","Construction","Leitrim","2002","Number","1140"
"Population 15 years and over at work","Both sexes","Construction","Leitrim","2006","Number","1971"
"Population 15 years and over at work","Both sexes","Construction","Leitrim","2011","Number","700"
"Population 15 years and over at work","Both sexes","Construction","Leitrim","2016","Number","689"
"Population 15 years and over at work","Both sexes","Construction","Mayo","2002","Number","5357"
"Population 15 years and over at work","Both sexes","Construction","Mayo","2006","Number","7787"
"Population 15 years and over at work","Both sexes","Construction","Mayo","2011","Number","3127"
"Population 15 years and over at work","Both sexes","Construction","Mayo","2016","Number","3235"
"Population 15 years and over at work","Both sexes","Construction","Roscommon","2002","Number","2381"
"Population 15 years and over at work","Both sexes","Construction","Roscommon","2006","Number","3690"
"Population 15 years and over at work","Both sexes","Construction","Roscommon","2011","Number","1403"
"Population 15 years and over at work","Both sexes","Construction","Roscommon","2016","Number","1492"
"Population 15 years and over at work","Both sexes","Construction","Sligo","2002","Number","2064"
"Population 15 years and over at work","Both sexes","Construction","Sligo","2006","Number","3155"
"Population 15 years and over at work","Both sexes","Construction","Sligo","2011","Number","1224"
"Population 15 years and over at work","Both sexes","Construction","Sligo","2016","Number","1165"
"Population 15 years and over at work","Both sexes","Construction","Ulster (part of)","2002","Number","10258"
"Population 15 years and over at work","Both sexes","Construction","Ulster (part of)","2006","Number","15749"
"Population 15 years and over at work","Both sexes","Construction","Ulster (part of)","2011","Number","6654"
"Population 15 years and over at work","Both sexes","Construction","Ulster (part of)","2016","Number","7341"
"Population 15 years and over at work","Both sexes","Construction","Cavan","2002","Number","2569"
"Population 15 years and over at work","Both sexes","Construction","Cavan","2006","Number","4082"
"Population 15 years and over at work","Both sexes","Construction","Cavan","2011","Number","1765"
"Population 15 years and over at work","Both sexes","Construction","Cavan","2016","Number","2132"
"Population 15 years and over at work","Both sexes","Construction","Donegal","2002","Number","5439"
"Population 15 years and over at work","Both sexes","Construction","Donegal","2006","Number","8124"
"Population 15 years and over at work","Both sexes","Construction","Donegal","2011","Number","3298"
"Population 15 years and over at work","Both sexes","Construction","Donegal","2016","Number","3432"
"Population 15 years and over at work","Both sexes","Construction","Monaghan","2002","Number","2250"
"Population 15 years and over at work","Both sexes","Construction","Monaghan","2006","Number","3543"
"Population 15 years and over at work","Both sexes","Construction","Monaghan","2011","Number","1591"
"Population 15 years and over at work","Both sexes","Construction","Monaghan","2016","Number","1777"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","State","2002","Number","219165"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","State","2006","Number","257309"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","State","2011","Number","265751"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","State","2016","Number","266673"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Leinster","2002","Number","125249"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Leinster","2006","Number","145983"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Leinster","2011","Number","150248"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Leinster","2016","Number","151773"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Carlow","2002","Number","2641"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Carlow","2006","Number","3261"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Carlow","2011","Number","3500"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Carlow","2016","Number","3360"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Dublin","2002","Number","68262"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Dublin","2006","Number","74873"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Dublin","2011","Number","74627"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Dublin","2016","Number","74552"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Dublin City","2002","Number","25251"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Dublin City","2006","Number","28202"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Dublin City","2011","Number","27046"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Dublin City","2016","Number","27332"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Dún Laoghaire-Rathdown","2002","Number","10775"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Dún Laoghaire-Rathdown","2006","Number","10588"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Dún Laoghaire-Rathdown","2011","Number","10849"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Dún Laoghaire-Rathdown","2016","Number","10244"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Fingal","2002","Number","13237"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Fingal","2006","Number","16371"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Fingal","2011","Number","18206"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Fingal","2016","Number","18675"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","South Dublin","2002","Number","18999"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","South Dublin","2006","Number","19712"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","South Dublin","2011","Number","18526"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","South Dublin","2016","Number","18301"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Kildare","2002","Number","10386"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Kildare","2006","Number","13013"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Kildare","2011","Number","13856"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Kildare","2016","Number","15037"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Kilkenny","2002","Number","4462"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Kilkenny","2006","Number","5434"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Kilkenny","2011","Number","5485"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Kilkenny","2016","Number","5423"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Laois","2002","Number","3224"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Laois","2006","Number","4088"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Laois","2011","Number","4765"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Laois","2016","Number","4972"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Longford","2002","Number","1407"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Longford","2006","Number","1776"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Longford","2011","Number","2135"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Longford","2016","Number","2277"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Louth","2002","Number","6000"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Louth","2006","Number","7521"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Louth","2011","Number","8021"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Louth","2016","Number","8012"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Meath","2002","Number","8053"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Meath","2006","Number","10953"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Meath","2011","Number","11836"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Meath","2016","Number","11947"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Offaly","2002","Number","3236"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Offaly","2006","Number","4195"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Offaly","2011","Number","4218"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Offaly","2016","Number","4198"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Westmeath","2002","Number","3967"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Westmeath","2006","Number","4837"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Westmeath","2011","Number","5105"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Westmeath","2016","Number","5154"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Wexford","2002","Number","6840"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Wexford","2006","Number","8347"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Wexford","2011","Number","8643"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Wexford","2016","Number","8701"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Wicklow","2002","Number","6771"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Wicklow","2006","Number","7685"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Wicklow","2011","Number","8057"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Wicklow","2016","Number","8140"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Munster","2002","Number","58869"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Munster","2006","Number","68846"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Munster","2011","Number","70366"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Munster","2016","Number","69983"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Clare","2002","Number","4755"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Clare","2006","Number","5636"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Clare","2011","Number","5621"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Clare","2016","Number","5523"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Cork","2002","Number","25568"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Cork","2006","Number","29756"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Cork","2011","Number","30542"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Cork","2016","Number","30849"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Cork City","2002","Number","6808"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Cork City","2006","Number","7186"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Cork City","2011","Number","6693"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Cork City","2016","Number","6730"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Cork County","2002","Number","18760"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Cork County","2006","Number","22570"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Cork County","2011","Number","23849"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Cork County","2016","Number","24119"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Kerry","2002","Number","6721"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Kerry","2006","Number","8087"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Kerry","2011","Number","8300"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Kerry","2016","Number","8250"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Limerick","2002","Number","9097"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Limerick","2006","Number","10688"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Limerick","2011","Number","10865"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Limerick","2016","Number","10567"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Limerick City","2002","Number","3047"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Limerick City","2006","Number","3380"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Limerick City","2011","Number","3382"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Limerick City","2016","Number",""
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Limerick County","2002","Number","6050"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Limerick County","2006","Number","7308"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Limerick County","2011","Number","7483"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Limerick County","2016","Number",""
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Tipperary","2002","Number","7582"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Tipperary","2006","Number","8774"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Tipperary","2011","Number","9026"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Tipperary","2016","Number","8731"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","North Tipperary","2002","Number","3396"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","North Tipperary","2006","Number","4034"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","North Tipperary","2011","Number","4056"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","North Tipperary","2016","Number",""
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","South Tipperary","2002","Number","4186"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","South Tipperary","2006","Number","4740"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","South Tipperary","2011","Number","4970"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","South Tipperary","2016","Number",""
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Waterford","2002","Number","5146"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Waterford","2006","Number","5905"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Waterford","2011","Number","6012"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Waterford","2016","Number","6063"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Waterford City","2002","Number","2482"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Waterford City","2006","Number","2693"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Waterford City","2011","Number","2789"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Waterford City","2016","Number",""
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Waterford County","2002","Number","2664"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Waterford County","2006","Number","3212"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Waterford County","2011","Number","3223"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Waterford County","2016","Number",""
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Connacht","2002","Number","22967"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Connacht","2006","Number","27663"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Connacht","2011","Number","29829"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Connacht","2016","Number","29121"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Galway","2002","Number","10363"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Galway","2006","Number","12474"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Galway","2011","Number","13428"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Galway","2016","Number","13311"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Galway City","2002","Number","3642"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Galway City","2006","Number","4145"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Galway City","2011","Number","4241"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Galway City","2016","Number","4287"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Galway County","2002","Number","6721"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Galway County","2006","Number","8329"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Galway County","2011","Number","9187"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Galway County","2016","Number","9024"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Leitrim","2002","Number","1075"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Leitrim","2006","Number","1351"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Leitrim","2011","Number","1538"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Leitrim","2016","Number","1534"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Mayo","2002","Number","5963"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Mayo","2006","Number","7035"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Mayo","2011","Number","7675"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Mayo","2016","Number","7400"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Roscommon","2002","Number","2703"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Roscommon","2006","Number","3360"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Roscommon","2011","Number","3660"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Roscommon","2016","Number","3585"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Sligo","2002","Number","2863"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Sligo","2006","Number","3443"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Sligo","2011","Number","3528"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Sligo","2016","Number","3291"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Ulster (part of)","2002","Number","12080"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Ulster (part of)","2006","Number","14817"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Ulster (part of)","2011","Number","15308"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Ulster (part of)","2016","Number","15796"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Cavan","2002","Number","2695"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Cavan","2006","Number","3596"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Cavan","2011","Number","3758"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Cavan","2016","Number","3965"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Donegal","2002","Number","6429"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Donegal","2006","Number","7730"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Donegal","2011","Number","7896"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Donegal","2016","Number","7866"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Monaghan","2002","Number","2956"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Monaghan","2006","Number","3491"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Monaghan","2011","Number","3654"
"Population 15 years and over at work","Both sexes","Wholesale and retail trade","Monaghan","2016","Number","3965"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","State","2002","Number","81418"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","State","2006","Number","100731"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","State","2011","Number","103560"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","State","2016","Number","116918"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Leinster","2002","Number","41065"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Leinster","2006","Number","51851"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Leinster","2011","Number","54165"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Leinster","2016","Number","61907"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Carlow","2002","Number","812"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Carlow","2006","Number","1146"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Carlow","2011","Number","1078"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Carlow","2016","Number","1210"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Dublin","2002","Number","22631"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Dublin","2006","Number","27997"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Dublin","2011","Number","29309"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Dublin","2016","Number","33989"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Dublin City","2002","Number","11167"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Dublin City","2006","Number","14576"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Dublin City","2011","Number","14849"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Dublin City","2016","Number","17173"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Dún Laoghaire-Rathdown","2002","Number","3232"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Dún Laoghaire-Rathdown","2006","Number","3421"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Dún Laoghaire-Rathdown","2011","Number","3443"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Dún Laoghaire-Rathdown","2016","Number","3785"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Fingal","2002","Number","3720"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Fingal","2006","Number","5137"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Fingal","2011","Number","6078"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Fingal","2016","Number","7139"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","South Dublin","2002","Number","4512"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","South Dublin","2006","Number","4863"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","South Dublin","2011","Number","4939"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","South Dublin","2016","Number","5892"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Kildare","2002","Number","2922"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Kildare","2006","Number","3808"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Kildare","2011","Number","3875"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Kildare","2016","Number","4436"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Kilkenny","2002","Number","1835"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Kilkenny","2006","Number","2301"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Kilkenny","2011","Number","2330"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Kilkenny","2016","Number","2575"
"Population 15 years and over at work","Both sexes","Hotels and restaurants","Laois","2002","Number","877"
